State,"Number of Fatalities, 2012","Rate of Fatalities, 2012","State Rank, Fatalities 2012",Number of Injuries/Illnesses 2012,Injuries/Illnesses 2012 Rate,Penalties FY 2013 (Average $),Penalties FY 2013 (Rank),Inspectors,Years to Inspect Each Workplace Once,State or Federal Program,State Population 2012,"Number of Fatalities per 100,000 (2012)",,,"Number of Injuries/Illnesses per 100,000 (2012)"
"Georgia
(32.83968004200045, -83.62757601199968)",101,2.5,10,74800,2.8,2061,15,49,138,Federal,9903580,1.019833232,755.2824332,,
"Rhode Island
(41.70828281900049, -71.52246918099962)",8,1.7,2,,,2023,16,7,103,Federal,1054893,0.758370754,,,
"Alaska
(64.84507923900048, -147.72205669099972)",31,8.9,48,9700,4.6,889,41,11,58,State,730810,4.241868612,1327.294372,,
"New Jersey
(40.1305700530005, -74.27368565099965)",92,2.4,8,80900,3.1,2151,12,67,123,Federal,8845671,1.040056769,914.5716588,,
"North Dakota
(47.47531738700047, -100.11842599699969)",65,17.7,50,,,3045,3,8,111,Federal,702227,9.256266136,,,
"Texas
(31.827243635000457, -99.4267664729997)",536,4.8,35,203200,2.7,2187,10,98,136,Federal,26084120,2.054890102,779.0180386,,
"California
(37.638640488000476, -120.99999889499969)",375,2.3,6,345400,3.5,6422,1,216,179,State,37944551,0.988284194,910.2756282,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Total or National, Average",4628,3.4,,,3.4,,,,,,,,,,
